Quarter Back_1,Quarter Back_2,Quarter Back_3,Running Back_1,Running Back_2,Running Back_3,Running Back_4,Offensive Lineman_1,Offensive Lineman_2,Offensive Lineman_3,Offensive Lineman_4,Offensive Lineman_5,Offensive Lineman_6,Offensive Lineman_7,Offensive Lineman_8,Offensive Lineman_9,Tight End_1,Tight End_2,Tight End_3,Wide Receiver_1,Wide Receiver_2,Wide Receiver_3,Wide Receiver_4,Wide Receiver_5,Wide Receiver_6,Defensive Lineman_1,Defensive Lineman_2,Defensive Lineman_3,Defensive Lineman_4,Defensive Lineman_5,Defensive Lineman_6,Defensive Lineman_7,Defensive Lineman_8,Defensive Lineman_9,Line Backer_1,Line Backer_2,Line Backer_3,Line Backer_4,Line Backer_5,Line Backer_6,Line Backer_7,Defensive Back_1,Defensive Back_2,Defensive Back_3,Defensive Back_4,Defensive Back_5,Defensive Back_6,Defensive Back_7,Defensive Back_8,Defensive Back_9,Defensive Back_10,Kicker_1,Punter_1,Team Rating
75,72,0,87,81,80,74,98,85,80,80,70,68,67,65,62,97,66,65,89,79,72,70,70,67,93,87,79,76,72,71,71,0,0,94,79,72,66,62,0,0,86,83,81,78,76,73,73,72,71,69,80,78,83
75,71,69,83,76,75,73,80,79,76,71,70,69,65,63,62,75,73,68,81,79,74,73,73,0,87,77,72,69,69,0,0,0,0,94,89,84,77,75,71,71,87,82,77,72,70,68,67,66,66,65,77,72,79
86,54,0,93,71,67,66,78,74,74,73,68,62,62,61,60,79,69,56,84,83,82,75,67,66,85,75,67,67,66,63,63,0,0,83,74,72,66,66,65,63,92,84,82,80,78,78,75,75,75,73,82,72,75
89,67,0,81,73,73,71,83,80,77,75,72,68,68,68,65,83,64,35,95,83,80,78,75,69,80,76,75,73,72,70,65,0,0,82,82,70,66,65,63,0,94,89,88,81,77,68,67,67,66,63,77,73,86
76,66,58,87,81,68,67,84,79,77,72,72,72,72,68,66,82,73,65,84,80,79,71,68,65,79,76,69,68,68,61,0,0,0,82,78,75,73,71,71,69,92,86,83,81,80,78,75,71,69,69,78,75,82
78,66,0,96,87,78,73,89,89,84,80,80,67,66,64,63,80,80,69,83,74,73,68,68,61,99,84,72,71,69,0,0,0,0,79,76,73,70,69,68,65,90,83,80,78,77,76,76,68,66,65,68,72,87
99,63,60,85,77,76,71,91,90,90,75,74,65,63,61,59,89,75,74,92,88,75,72,71,66,82,77,73,62,0,0,0,0,0,91,89,84,78,72,69,69,84,83,82,79,78,77,77,75,72,71,74,75,92
86,62,55,83,79,67,64,90,78,77,73,68,66,63,62,56,84,76,68,97,81,80,75,69,67,90,74,72,69,67,66,0,0,0,93,79,78,77,75,74,73,93,81,79,76,70,68,66,65,64,63,78,76,85
84,60,60,86,75,70,66,89,86,81,78,69,65,65,65,63,82,67,66,93,85,73,71,69,0,72,71,62,60,0,0,0,0,0,92,77,75,75,74,73,66,92,85,75,75,74,69,69,68,66,64,72,69,84
97,61,52,79,75,74,69,86,83,80,77,76,75,71,67,67,99,65,64,96,78,76,75,62,0,84,78,71,69,62,0,0,0,0,76,75,69,69,67,0,0,95,81,79,78,77,76,71,70,64,61,84,73,90
73,58,0,92,78,76,56,95,85,83,77,73,67,67,63,63,78,75,65,83,82,76,73,70,64,77,74,73,71,69,69,67,0,0,88,79,66,66,63,61,0,86,80,79,78,77,74,74,72,71,71,75,75,80
90,58,55,88,81,70,66,98,93,87,74,71,71,70,66,62,81,72,66,91,83,82,75,70,69,91,82,72,70,68,0,0,0,0,88,79,74,67,64,64,0,83,79,76,76,76,76,75,73,72,67,76,79,86
73,69,0,74,74,72,71,75,68,68,68,68,65,64,63,61,87,69,68,82,81,80,74,72,71,83,79,73,71,0,0,0,0,0,79,77,76,71,71,70,69,89,87,81,80,80,76,75,72,71,70,79,74,79
74,67,50,82,76,74,71,91,91,90,82,75,73,72,67,64,85,67,64,80,75,71,70,69,0,81,79,76,72,63,0,0,0,0,76,72,69,69,61,61,0,90,80,79,79,78,70,69,68,66,65,75,69,76
82,65,59,85,78,64,62,82,81,72,71,69,64,62,60,60,86,76,73,85,77,69,69,64,63,85,69,69,68,66,0,0,0,0,84,82,73,68,68,68,68,87,78,75,74,74,74,72,72,69,65,81,77,77
73,69,64,80,78,66,64,87,79,79,76,71,71,70,65,63,78,69,66,90,78,74,71,70,70,86,81,67,67,65,64,61,60,0,77,73,72,69,67,65,64,88,84,79,78,76,74,70,69,67,67,72,83,81
70,59,58,86,72,71,64,75,72,70,70,68,68,68,65,64,81,77,68,82,81,77,75,72,71,83,80,63,0,0,0,0,0,0,79,75,74,73,72,71,67,85,82,81,81,79,76,73,72,68,67,83,68,78
74,57,0,84,76,75,66,83,82,75,74,72,68,67,66,63,72,70,70,83,78,74,73,70,69,77,71,71,71,71,68,67,0,0,85,84,74,72,66,65,63,85,74,74,73,72,71,70,69,68,66,69,74,75
72,68,55,75,72,70,66,82,76,76,74,74,73,69,68,68,71,69,64,78,78,77,76,74,71,83,81,74,70,69,64,0,0,0,81,72,70,69,65,65,63,85,79,78,75,73,69,69,67,66,66,70,73,72
72,57,56,80,77,65,65,88,79,78,74,70,65,62,60,58,88,65,60,75,73,72,71,69,66,73,70,70,65,61,0,0,0,0,77,77,76,72,70,70,67,77,74,74,71,69,67,66,65,63,63,71,81,74
95,68,59,90,79,67,56,95,86,73,72,71,70,70,68,64,80,79,68,99,77,76,76,68,68,75,70,0,0,0,0,0,0,0,89,87,85,82,75,74,66,95,90,80,78,75,75,74,68,65,63,72,80,89
71,71,61,96,74,70,63,82,78,68,68,67,66,65,63,62,70,70,36,86,81,71,70,67,66,86,73,73,70,64,59,0,0,0,84,82,70,70,67,66,66,94,83,83,82,76,74,72,72,67,66,75,70,73
77,61,58,82,76,73,70,87,86,84,79,78,76,64,61,59,85,79,66,79,79,79,72,66,65,78,78,77,73,0,0,0,0,0,87,85,79,78,78,74,71,89,89,82,82,81,75,71,69,68,68,76,80,83
83,70,0,88,79,76,72,89,82,73,72,71,70,69,68,68,91,70,63,82,77,76,74,70,0,88,82,74,74,66,0,0,0,0,82,76,75,74,74,71,69,90,81,78,78,77,73,69,68,68,68,80,83,81
83,59,54,82,79,77,66,86,84,76,75,70,69,66,57,57,84,64,63,98,86,86,77,68,65,99,76,65,62,0,0,0,0,0,93,80,73,72,72,69,67,99,83,77,75,74,74,74,72,71,66,76,85,84
90,65,56,81,80,78,78,92,83,77,74,73,72,70,67,66,93,76,67,84,77,76,72,71,68,88,78,75,64,0,0,0,0,0,80,78,77,77,76,74,73,91,88,81,80,79,76,76,75,74,70,90,84,88
76,67,61,91,78,67,65,94,88,81,75,73,72,68,63,62,73,69,68,91,75,74,74,71,71,92,81,70,70,68,68,0,0,0,92,76,73,68,64,62,0,88,84,83,82,80,75,74,74,69,62,79,75,84
88,62,60,84,77,72,67,81,79,73,72,70,66,63,59,58,76,74,65,89,88,71,69,64,63,77,72,72,71,70,70,68,0,0,91,80,73,72,68,66,64,90,83,78,77,72,71,71,68,67,66,74,82,82
74,63,62,83,73,71,68,78,73,72,70,68,67,62,62,61,78,77,65,85,80,78,74,71,59,94,86,74,65,63,0,0,0,0,96,77,76,74,70,70,66,89,79,78,77,76,70,70,67,65,64,82,72,80
84,70,68,74,72,69,60,89,77,72,72,71,68,68,65,62,72,70,66,87,77,73,73,72,69,76,73,70,68,0,0,0,0,0,74,74,73,70,68,68,64,82,81,74,73,72,71,71,70,67,66,72,72,76
85,51,0,97,72,70,69,82,82,80,78,71,67,67,64,59,71,69,67,87,84,71,70,70,67,89,80,66,64,60,58,0,0,0,83,83,78,77,75,71,68,91,78,78,76,75,74,72,69,69,68,71,85,85
81,64,52,95,77,76,71,83,76,74,73,66,66,63,63,63,77,74,67,90,88,72,72,71,67,89,80,75,72,67,66,65,64,0,89,79,70,68,67,67,66,90,78,77,74,73,69,68,67,65,0,69,76,78
75,72,0,87,81,80,74,98,85,80,80,70,68,67,65,62,97,66,65,89,79,72,70,70,67,93,87,79,76,72,71,71,0,0,94,79,72,66,62,0,0,86,83,81,78,76,73,73,72,71,69,80,78,89
75,71,69,83,76,75,73,80,79,76,71,70,69,65,63,62,75,73,68,81,79,74,73,73,0,87,77,72,69,69,0,0,0,0,94,89,84,77,75,71,71,87,82,77,72,70,68,67,66,66,65,77,72,82
86,54,0,93,71,67,66,78,74,74,73,68,62,62,61,60,79,69,56,84,83,82,75,67,66,85,75,67,67,66,63,63,0,0,83,74,72,66,66,65,63,92,84,82,80,78,78,75,75,75,73,82,72,75
89,67,0,81,73,73,71,83,80,77,75,72,68,68,68,65,83,64,35,95,83,80,78,75,69,80,76,75,73,72,70,65,0,0,82,82,70,66,65,63,0,94,89,88,81,77,68,67,67,66,63,77,73,83
76,66,58,87,81,68,67,84,79,77,72,72,72,72,68,66,82,73,65,84,80,79,71,68,65,79,76,69,68,68,61,0,0,0,82,78,75,73,71,71,69,92,86,83,81,80,78,75,71,69,69,78,75,79
78,66,0,96,87,78,73,89,89,84,80,80,67,66,64,63,80,80,69,83,74,73,68,68,61,99,84,72,71,69,0,0,0,0,79,76,73,70,69,68,65,90,83,80,78,77,76,76,68,66,65,68,72,82
99,63,60,85,77,76,71,91,90,90,75,74,65,63,61,59,89,75,74,92,88,75,72,71,66,82,77,73,62,0,0,0,0,0,91,89,84,78,72,69,69,84,83,82,79,78,77,77,75,72,71,74,75,85
86,62,55,83,79,67,64,90,78,77,73,68,66,63,62,56,84,76,68,97,81,80,75,69,67,90,74,72,69,67,66,0,0,0,93,79,78,77,75,74,73,93,81,79,76,70,68,66,65,64,63,78,76,80
84,60,60,86,75,70,66,89,86,81,78,69,65,65,65,63,82,67,66,93,85,73,71,69,0,72,71,62,60,0,0,0,0,0,92,77,75,75,74,73,66,92,85,75,75,74,69,69,68,66,64,72,69,81
97,61,52,79,75,74,69,86,83,80,77,76,75,71,67,67,99,65,64,96,78,76,75,62,0,84,78,71,69,62,0,0,0,0,76,75,69,69,67,0,0,95,81,79,78,77,76,71,70,64,61,84,73,88
73,58,0,92,78,76,56,95,85,83,77,73,67,67,63,63,78,75,65,83,82,76,73,70,64,77,74,73,71,69,69,67,0,0,88,79,66,66,63,61,0,86,80,79,78,77,74,74,72,71,71,75,75,83
90,58,55,88,81,70,66,98,93,87,74,71,71,70,66,62,81,72,66,91,83,82,75,70,69,91,82,72,70,68,0,0,0,0,88,79,74,67,64,64,0,83,79,76,76,76,76,75,73,72,67,76,79,86
73,69,0,74,74,72,71,75,68,68,68,68,65,64,63,61,87,69,68,82,81,80,74,72,71,83,79,73,71,0,0,0,0,0,79,77,76,71,71,70,69,89,87,81,80,80,76,75,72,71,70,79,74,76
74,67,50,82,76,74,71,91,91,90,82,75,73,72,67,64,85,67,64,80,75,71,70,69,0,81,79,76,72,63,0,0,0,0,76,72,69,69,61,61,0,90,80,79,79,78,70,69,68,66,65,75,69,84
82,65,59,85,78,64,62,82,81,72,71,69,64,62,60,60,86,76,73,85,77,69,69,64,63,85,69,69,68,66,0,0,0,0,84,82,73,68,68,68,68,87,78,75,74,74,74,72,72,69,65,81,77,81
73,69,64,80,78,66,64,87,79,79,76,71,71,70,65,63,78,69,66,90,78,74,71,70,70,86,81,67,67,65,64,61,60,0,77,73,72,69,67,65,64,88,84,79,78,76,74,70,69,67,67,72,83,74
70,59,58,86,72,71,64,75,72,70,70,68,68,68,65,64,81,77,68,82,81,77,75,72,71,83,80,63,0,0,0,0,0,0,79,75,74,73,72,71,67,85,82,81,81,79,76,73,72,68,67,83,68,76
74,57,0,84,76,75,66,83,82,75,74,72,68,67,66,63,72,70,70,83,78,74,73,70,69,77,71,71,71,71,68,67,0,0,85,84,74,72,66,65,63,85,74,74,73,72,71,70,69,68,66,69,74,74
72,68,55,75,72,70,66,82,76,76,74,74,73,69,68,68,71,69,64,78,78,77,76,74,71,83,81,74,70,69,64,0,0,0,81,72,70,69,65,65,63,85,79,78,75,73,69,69,67,66,66,70,73,75
72,57,56,80,77,65,65,88,79,78,74,70,65,62,60,58,88,65,60,75,73,72,71,69,66,73,70,70,65,61,0,0,0,0,77,77,76,72,70,70,67,77,74,74,71,69,67,66,65,63,63,71,81,78
95,68,59,90,79,67,56,95,86,73,72,71,70,70,68,64,80,79,68,99,77,76,76,68,68,75,70,0,0,0,0,0,0,0,89,87,85,82,75,74,66,95,90,80,78,75,75,74,68,65,63,72,80,86
71,71,61,96,74,70,63,82,78,68,68,67,66,65,63,62,70,70,36,86,81,71,70,67,66,86,73,73,70,64,59,0,0,0,84,82,70,70,67,66,66,94,83,83,82,76,74,72,72,67,66,75,70,77
77,61,58,82,76,73,70,87,86,84,79,78,76,64,61,59,85,79,66,79,79,79,72,66,65,78,78,77,73,0,0,0,0,0,87,85,79,78,78,74,71,89,89,82,82,81,75,71,69,68,68,76,80,79
83,70,0,88,79,76,72,89,82,73,72,71,70,69,68,68,91,70,63,82,77,76,74,70,0,88,82,74,74,66,0,0,0,0,82,76,75,74,74,71,69,90,81,78,78,77,73,69,68,68,68,80,83,80
83,59,54,82,79,77,66,86,84,76,75,70,69,66,57,57,84,64,63,98,86,86,77,68,65,99,76,65,62,0,0,0,0,0,93,80,73,72,72,69,67,99,83,77,75,74,74,74,72,71,66,76,85,78
90,65,56,81,80,78,78,92,83,77,74,73,72,70,67,66,93,76,67,84,77,76,72,71,68,88,78,75,64,0,0,0,0,0,80,78,77,77,76,74,73,91,88,81,80,79,76,76,75,74,70,90,84,87
76,67,61,91,78,67,65,94,88,81,75,73,72,68,63,62,73,69,68,91,75,74,74,71,71,92,81,70,70,68,68,0,0,0,92,76,73,68,64,62,0,88,84,83,82,80,75,74,74,69,62,79,75,93
88,62,60,84,77,72,67,81,79,73,72,70,66,63,59,58,76,74,65,89,88,71,69,64,63,77,72,72,71,70,70,68,0,0,91,80,73,72,68,66,64,90,83,78,77,72,71,71,68,67,66,74,82,85
74,63,62,83,73,71,68,78,73,72,70,68,67,62,62,61,78,77,65,85,80,78,74,71,59,94,86,74,65,63,0,0,0,0,96,77,76,74,70,70,66,89,79,78,77,76,70,70,67,65,64,82,72,84
84,70,68,74,72,69,60,89,77,72,72,71,68,68,65,62,72,70,66,87,77,73,73,72,69,76,73,70,68,0,0,0,0,0,74,74,73,70,68,68,64,82,81,74,73,72,71,71,70,67,66,72,72,84
85,51,0,97,72,70,69,82,82,80,78,71,67,67,64,59,71,69,67,87,84,71,70,70,67,89,80,66,64,60,58,0,0,0,83,83,78,77,75,71,68,91,78,78,76,75,74,72,69,69,68,71,85,80
81,64,52,95,77,76,71,83,76,74,73,66,66,63,63,63,77,74,67,90,88,72,72,71,67,89,80,75,72,67,66,65,64,0,89,79,70,68,67,67,66,90,78,77,74,73,69,68,67,65,0,69,76,83
88,85,0,99,99,98,89,90,90,89,83,83,0,0,0,0,96,0,0,90,86,86,84,83,0,97,92,88,87,0,0,0,0,0,99,99,96,91,0,0,0,92,90,86,86,85,0,0,0,0,0,0,0,84
89,87,0,92,88,0,0,99,93,90,87,83,0,0,0,0,88,0,0,92,90,87,87,0,0,92,88,87,87,0,0,0,0,0,84,83,81,0,0,0,0,92,90,89,86,84,84,0,0,0,0,0,0,80
91,0,0,97,94,86,0,91,90,89,88,87,0,0,0,0,84,0,0,92,87,86,85,0,0,98,89,89,83,0,0,0,0,0,89,87,82,0,0,0,0,92,87,86,85,80,0,0,0,0,0,0,0,78
98,0,0,92,90,0,0,96,91,86,85,83,0,0,0,0,97,0,0,91,88,88,86,0,0,90,89,88,86,0,0,0,0,0,97,91,89,88,0,0,0,97,96,91,90,90,0,0,0,0,0,86,80,81
90,0,0,99,98,0,0,99,90,89,88,87,0,0,0,0,98,0,0,94,84,84,82,0,0,89,88,88,86,0,0,0,0,0,90,86,81,0,0,0,0,91,90,90,86,86,0,0,0,0,0,84,79,83
83,0,0,99,91,85,0,89,88,88,87,85,85,0,0,0,86,0,0,91,90,87,87,0,0,96,94,92,90,0,0,0,0,0,99,90,89,85,0,0,0,96,94,85,82,82,0,0,0,0,0,83,76,78
89,0,0,95,90,87,0,93,90,86,81,0,0,0,0,0,90,0,0,97,91,87,83,0,0,92,87,84,82,0,0,0,0,0,89,84,82,0,0,0,0,96,95,93,93,91,90,90,90,0,0,84,82,78
94,91,0,97,89,0,0,95,90,87,85,82,0,0,0,0,98,97,0,94,91,90,88,87,0,93,92,88,88,86,0,0,0,0,97,91,83,0,0,0,0,95,91,89,88,88,87,0,0,0,0,86,85,85
97,90,0,97,92,90,89,98,93,91,89,89,0,0,0,0,99,96,0,94,87,86,0,0,0,94,93,90,89,0,0,0,0,0,98,98,98,89,88,0,0,94,93,93,90,87,86,85,0,0,0,88,81,84
99,98,92,93,93,0,0,98,97,94,89,86,0,0,0,0,97,95,0,96,92,91,91,0,0,96,93,92,89,0,0,0,0,0,85,85,82,0,0,0,0,95,88,87,85,83,0,0,0,0,0,97,87,86
